record_id,date,year,day_of_year,week_of_year,month,store_id,category,weekly_sales,units_sold,is_promotion,promotion_discount,store_size_factor,avg_temperature_c
1,2020-01-06,2020,1,2,1,S01,Electronics,17267.77,637,0,0.0,0.888,6.0
2,2020-01-13,2020,2,3,1,S01,Electronics,17860.62,513,0,0.0,0.888,-1.8
3,2020-01-20,2020,3,4,1,S01,Electronics,15266.53,354,0,0.0,0.888,19.1
4,2020-01-27,2020,4,5,1,S01,Electronics,16356.47,430,0,0.0,0.888,2.9
5,2020-02-03,2020,5,6,2,S01,Electronics,17406.38,641,0,0.0,0.888,5.2
6,2020-02-10,2020,6,7,2,S01,Electronics,17152.24,724,0,0.0,0.888,10.6
7,2020-02-17,2020,7,8,2,S01,Electronics,16755.09,495,1,0.17,0.888,-1.5
8,2020-02-24,2020,8,9,2,S01,Electronics,15722.1,480,0,0.0,0.888,7.3
9,2020-03-02,2020,9,10,3,S01,Electronics,16250.88,495,0,0.0,0.888,3.6
10,2020-03-09,2020,10,11,3,S01,Electronics,15458.63,465,1,0.09,0.888,12.1
11,2020-03-16,2020,11,12,3,S01,Electronics,12657.8,301,0,0.0,0.888,5.9
12,2020-03-23,2020,12,13,3,S01,Electronics,11960.18,560,0,0.0,0.888,12.2
13,2020-03-30,2020,13,14,3,S01,Electronics,9714.53,386,0,0.0,0.888,14.0
14,2020-04-06,2020,14,15,4,S01,Electronics,8611.3,243,0,0.0,0.888,7.9
15,2020-04-13,2020,15,16,4,S01,Electronics,10815.21,375,0,0.0,0.888,17.9
16,2020-04-20,2020,16,17,4,S01,Electronics,11173.32,342,0,0.0,0.888,15.9
17,2020-04-27,2020,17,18,4,S01,Electronics,12558.48,487,0,0.0,0.888,23.6
18,2020-05-04,2020,18,19,5,S01,Electronics,12530.6,486,0,0.0,0.888,19.1
19,2020-05-11,2020,19,20,5,S01,Electronics,12991.53,708,0,0.0,0.888,16.7
20,2020-05-18,2020,20,21,5,S01,Electronics,10132.49,378,0,0.0,0.888,21.7
21,2020-05-25,2020,21,22,5,S01,Electronics,8851.9,260,0,0.0,0.888,29.7
22,2020-06-01,2020,22,23,6,S01,Electronics,9494.46,460,0,0.0,0.888,25.6
23,2020-06-08,2020,23,24,6,S01,Electronics,11489.47,277,0,0.0,0.888,28.7
24,2020-06-15,2020,24,25,6,S01,Electronics,10079.3,264,0,0.0,0.888,24.2
25,2020-06-22,2020,25,26,6,S01,Electronics,9248.67,411,0,0.0,0.888,25.5
26,2020-06-29,2020,26,27,6,S01,Electronics,14213.87,353,0,0.0,0.888,35.8
27,2020-07-06,2020,27,28,7,S01,Electronics,14898.54,584,0,0.0,0.888,27.6
28,2020-07-13,2020,28,29,7,S01,Electronics,13669.32,665,0,0.0,0.888,25.4
29,2020-07-20,2020,29,30,7,S01,Electronics,15822.07,682,0,0.0,0.888,23.1
30,2020-07-27,2020,30,31,7,S01,Electronics,14552.08,619,0,0.0,0.888,24.3
31,2020-08-03,2020,31,32,8,S01,Electronics,15822.72,374,0,0.0,0.888,22.0
32,2020-08-10,2020,32,33,8,S01,Electronics,17022.48,380,0,0.0,0.888,20.5
